painting_id,artist,artist_code,birth_year,dimensions,mean_R,mean_G,mean_B,std_R,std_G,std_B,dominant_color_0_R,dominant_color_1_R,dominant_color_2_R,dominant_color_0_G,dominant_color_1_G,dominant_color_2_G,dominant_color_0_B,dominant_color_1_B,dominant_color_2_B,color_percentage_0,color_percentage_1,color_percentage_2,texture_contrast,texture_dissimilarity,texture_homogeneity,texture_energy,texture_correlation,texture_ASM,Portrait,Landscape,Still life,Nude,Religious scene,Battle scene,Mythological figure,Cityscape,Interior,Night scene,people,figure,Animal,Plant,Building,Mountain,Abstract shape,Geometric pattern
denis_7,maurice-denis,denis,1870,1228x1800,139.08148163228375,104.6128981179877,95.59187386898299,52.159143869241596,45.121564889912634,47.24279456076936,150.7135041087627,83.981310183305,191.35406318452198,105.32873149709444,58.0641819797136,164.13720052216098,93.71855349446277,55.67389902377484,150.83140046107857,0.42237558812884546,0.32594055374592834,0.2516838581252262,1.083702332732407,0.5786905472938573,0.7543165777474277,0.19630589398164625,0.9295638151760943,0.038583430598911436,0.04932108893990517,0.34768161177635193,0.445397287607193,0.036560531705617905,0.8883430361747742,0.2842077910900116,0.283102422952652,0.011097950860857964,0.040804553776979446,0.1936742216348648,0.012509210966527462,0.16115321218967438,0.006852870807051659,0.020697524771094322,0.035917382687330246,0.06422869116067886,0.3924048840999603,0.42955291271209717
denis_8,maurice-denis,denis,1870,1243x1800,100.96986725663717,94.88102708500939,128.84238178242603,43.49013659024932,42.92623368829884,43.073504543580995,40.1746409851905,147.6604937563138,94.31557511944898,30.358941666961897,142.66228774481365,88.91012918067722,58.22888857507476,166.90366611411113,131.07416209520335,0.1832081880754447,0.3121511575936355,0.5046406543309199,0.25251877796122935,0.20405865018810057,0.9025618863921179,0.2738611241468279,0.9817103788683512,0.07505206106037549,0.17730318009853363,0.0901399627327919,0.4159574806690216,0.9376571178436279,0.28650274872779846,0.12121377140283585,0.5320942401885986,0.2847634255886078,0.06234672665596008,0.3798782229423523,0.06906968355178833,0.2699260711669922,0.009583680890500546,0.08544956147670746,0.12128281593322754,0.017858413979411125,0.20776605606079102,0.27597561478614807
denis_9,maurice-denis,denis,1870,1241x1800,108.11585191154087,110.72718461813949,127.92927567373981,39.5122988855562,30.51487406604226,40.24495521009153,103.24049409994525,159.99543862440217,81.01753188945388,120.51429058341967,143.5153538480933,80.80901269502361,152.12346504627553,155.34994326739215,86.9946525750918,0.37950980392156863,0.23619258662369058,0.3842976094547408,0.37857927266809166,0.28197661594197404,0.8680638046382578,0.29101491724604195,0.9517796096908594,0.08476281993944478,0.08071916550397873,0.5747087597846985,0.11217685788869858,0.8083500266075134,0.2480490505695343,0.11971894651651382,0.9288259744644165,0.0018850730266422033,0.005982459057122469,0.5022338628768921,0.012204660102725029,0.41993099451065063,0.078914575278759,0.08824525028467178,0.005431622266769409,0.022204017266631126,0.08174265176057816,0.13229075074195862
derain_1,andre-derain,derain,1880,1469x1800,85.04716927615158,59.61666704485289,40.094584373345434,43.747148094726334,37.54985883083174,26.001380680815316,51.80715901165176,151.99391186187776,107.50376788446404,32.352541701820826,124.64168610179502,70.81990120157222,26.7648578156933,86.4653308725983,35.16989772885847,0.5513145752968762,0.18702480901595947,0.26166061568716437,0.16025299288827166,0.1427324973551776,0.9303375290919372,0.3445887761142677,0.9853732724790171,0.11877676720720154,0.7874744534492493,0.46294036507606506,0.331676185131073,0.3009192943572998,0.11185300350189209,0.11928541958332062,0.5434709787368774,0.02323795296251774,0.007332065608352423,0.21909689903259277,0.04967239871621132,0.26150602102279663,0.07478924840688705,0.042679138481616974,0.006899681407958269,0.04766225442290306,0.44747281074523926,0.03745754063129425
derain_10,andre-derain,derain,1880,1800x1397,132.6382454465919,125.73640380179751,103.88547204326731,76.14825132401695,48.66746826841981,39.37811007039671,197.9344831118926,48.94247914312437,182.759037868914,182.77952839496257,95.64301952574624,103.21827446735585,122.87430489292754,109.59226264180379,72.15651923709633,0.3230891593096317,0.41086813012009865,0.2660427105702696,1.6843385173811365,0.6023201586559714,0.7747236222388063,0.21167923112585824,0.9049233528238405,0.04484145670891165,0.07671874761581421,0.7234878540039062,0.12722338736057281,0.11365317553281784,0.03611330687999725,0.2649887204170227,0.04392053931951523,0.03657815605401993,0.01458822749555111,0.2998390793800354,0.05727297440171242,0.18781644105911255,0.014814781956374645,0.07864294946193695,0.011426781304180622,0.02806745655834675,0.7660080194473267,0.0605083592236042
derain_11,andre-derain,derain,1880,1800x1490,79.89820246085011,98.73968754660702,94.60993064876958,47.73648071082737,41.407712452510005,40.14461406337743,93.76168084818757,39.25334731697304,154.34399797278462,109.1225049562953,63.72431744754953,166.11529287100552,101.20972283004811,63.39677137160529,160.18455194479765,0.3699675615212528,0.45125764354958986,0.17877479492915735,3.5602095361290482,1.1241462040021597,0.6099984483692102,0.17036359909831486,0.7475089119972911,0.029040680897219506,0.056879620999097824,0.9519538879394531,0.1965073198080063,0.02284047193825245,0.015552058815956116,0.13863800466060638,0.038210608065128326,0.01718108355998993,0.0035274794790893793,0.07143112272024155,0.026539260521531105,0.15017735958099365,0.017810244113206863,0.1292409896850586,0.016990486532449722,0.08039362728595734,0.31161239743232727,0.06798996031284332
derain_12,andre-derain,derain,1880,1800x1447,120.18924978883514,136.01679643707288,141.67500614297782,70.84483572066739,51.90637790102255,60.70123727526967,170.89979056347985,178.04310729484965,44.36172703675189,192.87488280241465,128.32651813364515,91.7273521701176,209.1339938361407,79.39454618767095,118.96754616585493,0.3534888274591108,0.23203178991015894,0.41447938263073025,0.4200225802066536,0.25481151082486125,0.885572116833459,0.2408624695729909,0.9812510182470793,0.05804266966484563,0.03389671444892883,0.9209678173065186,0.23191611468791962,0.09017439186573029,0.01786637119948864,0.05215706303715706,0.04411476105451584,0.03640299662947655,0.005243055522441864,0.09493081271648407,0.018951840698719025,0.21627409756183624,0.0026283070910722017,0.019194072112441063,0.00985799916088581,0.1272568553686142,0.6207125186920166,0.03384948521852493
derain_13,andre-derain,derain,1880,1800x1428,131.07202769996888,120.0575459072518,134.27210084033612,65.55208927166652,57.62955800199018,58.5977748770618,172.04348796258407,168.43407679643926,49.85603273571711,169.0737430431713,97.65299421449974,62.114417027026654,181.99696561518826,64.83108611584454,105.69196323719474,0.4779987550575786,0.19202886710239653,0.3299723778400249,3.267349460796538,0.9432392460477594,0.6795737533845461,0.16676376157466355,0.8666156273853511,0.027826943814425846,0.09400086849927902,0.5566231608390808,0.31218552589416504,0.036820970475673676,0.011952340602874756,0.1455887258052826,0.05113305523991585,0.034982915967702866,0.008141830563545227,0.251213937997818,0.030644439160823822,0.8093060255050659,0.004194357898086309,0.0879950001835823,0.009957860223948956,0.02325054258108139,0.4647505581378937,0.3867938220500946
derain_14,andre-derain,derain,1880,1800x1783,136.4061908767994,95.81227394528572,75.77114756652334,58.74348916056359,44.7607321967503,30.01587086515807,217.43319284334297,77.50986323562728,174.2360450581611,182.64094398070506,55.15246271726645,114.22121628912562,138.39371144665674,55.27840560201377,80.34356251196363,0.11131675702623543,0.4415121206456035,0.44717112232816103,0.35034775787135597,0.2319917396025279,0.8943087002733998,0.2781614397806307,0.9788914365748375,0.07740788095753931,0.18223680555820465,0.30372539162635803,0.9937963485717773,0.4693213701248169,0.17258447408676147,0.07353085279464722,0.5302562117576599,0.012730641290545464,0.017005210742354393,0.12355471402406693,0.03779803588986397,0.25419461727142334,0.0104408860206604,0.039003342390060425,0.03535810858011246,0.027681313455104828,0.25527074933052063,0.03642673417925835
derain_15,andre-derain,derain,1880,1800x1350,158.58071646090534,126.47131440329218,87.43651893004115,69.98154141751115,65.93993963971978,56.05583362802531,232.05612805721032,76.10687419403645,177.50200868345107,205.90957753519788,54.66818599884108,126.57477460471,158.03298288115099,41.054168599452794,67.09892666381666,0.326979012345679,0.36349588477366257,0.30952510288065843,1.300848790931281,0.6039583554336843,0.7546263822971706,0.18553467165512202,0.9605601757328408,0.03448041671939661,0.09578008949756622,0.38371962308883667,0.3809144198894501,0.05143332853913307,0.04450463876128197,0.23859545588493347,0.2150835543870926,0.023417653515934944,0.09689398854970932,0.06794393807649612,0.0226669292896986,0.23515833914279938,0.04149141162633896,0.14367711544036865,0.0359124131500721,0.1348445564508438,0.5861443281173706,0.176627516746521
